steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	624.2876543998718	5029.85085713175	5034.095346373453	100.05167143505447	5239.245336344742	4873.300289206794	204.536	204.65944	3.377417891025543	3.5739574527740476	40001	-5.871288	0.0926731750369072
100000	100	1383.1652495861053	7003.220652604728	7046.335494333708	155.8484751390487	7241.51022562781	6675.168067577321	364.67422	364.45938	5.417335782051087	5.570159199237824	90001	-6.4590592	0.13459669053554535
150000	150	2140.9967176914215	8393.000498086427	8420.301867975937	134.34849910878899	8593.113794306035	8081.384546305015	483.28018	483.26962	8.46660232067108	8.689391894340515	140001	-5.933552	0.17376190423965454
200000	200	2904.546600341797	9044.61087702502	9013.921614982562	93.12639234966356	9199.599558031981	8922.416515329951	580.18335	580.19666	10.624062232971191	10.857797312736512	190001	-6.287318	0.20471066236495972
250000	250	3673.086353302002	9937.043788837898	9943.32766320524	130.17566491175512	10154.503670153768	9769.171690080926	654.83234	655.0144	11.862304286956787	12.228286185264587	240001	-5.997492	0.22212150692939758
300000	300	4446.612606525421	10314.437749251172	10300.818099735894	157.17897558109604	10605.384480788045	10142.461702907767	688.107	688.05457	12.09975905418396	12.08052493095398	290001	-6.0411916	0.22939328849315643
350000	350	5220.694362401962	10179.545064935433	10171.458369686818	107.86755335882398	10367.650496366781	10003.232039418543	725.09125	725.06525	12.83698890209198	13.371852040290833	340001	-6.0724053	0.2354259192943573
400000	400	5997.632603168488	10725.65183661383	10741.499116188046	123.87953008374734	10946.0770409049	10516.06749727535	749.95807	749.86163	14.878398084640503	14.876548318862914	390001	-5.9493756	0.24985873699188232
450000	450	6776.940088510513	10415.983833257551	10469.368447280316	136.8271681254534	10598.885873450894	10212.976848583206	777.5667	778.01086	14.61442714214325	14.267949199676513	440001	-5.8603783	0.24201563000679016
500000	500	7557.181953191757	10496.99697433923	10530.83163357614	138.52472574575611	10708.177662573973	10269.967235524762	805.012	804.9816	12.414668817520141	13.24243028640747	490001	-5.748053	0.23645715415477753
550000	550	8345.715508699417	11168.473692639735	11182.600280690258	124.82296196667335	11364.205606981808	11001.254772673818	821.63354	821.69476	14.773096747398377	14.554733657836914	540001	-6.108213	0.23395711183547974
600000	600	9125.558637619019	11039.944761114893	11070.219874252187	244.0863829432648	11292.339442698476	10444.876482226035	839.1189	839.20215	14.400761861801147	13.580672779083251	590001	-5.8287797	0.2422991842031479
650000	650	9903.31768989563	11496.544176192709	11461.375528497621	162.9061318063422	11867.268439871059	11335.436374671304	848.56665	848.7172	13.781713614463806	13.638152313232421	640001	-6.126044	0.2427247315645218
700000	700	10696.951154232025	11617.665162691885	11644.221053695304	136.40149789340813	11774.99034481326	11432.842866680696	871.6156	871.79846	15.983203687667846	14.649895849227905	690001	-6.309296	0.24203218519687653
750000	750	11486.56505703926	11185.044159322551	11195.253053287972	141.51901827997864	11395.70806722309	10981.90385347562	858.6929	858.8088	13.559784812927246	13.250293483734131	740001	-5.9982686	0.2488180249929428
800000	800	12283.284589767456	11666.22543357895	11642.782764142796	153.49224506040136	11918.739559057118	11407.736566367255	886.68427	886.61743	14.12089584350586	13.804159135818482	790001	-5.956586	0.24790294468402863
850000	850	13083.595379590988	11808.712418016332	11793.127612699354	152.38577386579945	12163.984288749982	11568.748407807998	884.4028	884.4233	16.13901165962219	14.731278481483459	840001	-5.969374	0.24536943435668945
900000	900	13874.785546779633	11670.853408498731	11663.163485288773	115.51296363481686	11858.957283764743	11508.3523656877	887.2719	887.55927	16.30285517692566	14.0794979763031	890001	-6.5294695	0.2440984547138214
950000	950	14682.193352222443	11481.369311852284	11488.456500544711	114.12481863831844	11631.961042670535	11269.832969908479	902.2829	902.56055	15.059249458312989	14.160910587310791	940001	-5.479598	0.24717912077903748
1000000	1000	15480.742555141449	12023.496413841109	12077.30679345322	187.038615644364	12207.798993968652	11654.010673129875	900.53156	900.8187	14.256070976257325	13.826356549263	990001	-6.170439	0.24677930772304535
