steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	995.7321391105652	4755.949456760941	5037.969512765608	1003.9312591381248	5251.524834619838	1907.0542290932208	182.80356	182.92813	3.791921465396881	4.070250287055969	40001	-5.907891	0.07177536934614182
100000	100	2231.34605383873	6795.21579585303	6819.000183797344	136.36456678970342	7010.300120634671	6595.002803111236	372.55426	372.82544	5.71370080947876	5.878480658531189	90001	-6.6358643	0.15125657618045807
150000	150	3421.1888284683228	7695.61113576212	7691.304164557836	48.863779866436644	7780.764728123768	7593.250804947324	457.3132	457.32913	6.5242484760284425	6.724840259552002	140001	-6.081173	0.19592149555683136
200000	200	4610.744395971298	8268.87895721946	8238.761232533214	87.09206302680124	8396.71543566513	8125.427514567787	511.90637	512.1068	6.415347170829773	6.751257100105286	190001	-5.998801	0.22025780379772186
250000	250	5798.589207410812	8840.689453055858	8890.76820560177	126.4417729191629	8946.490467150836	8595.162636422287	559.8443	559.6001	7.614009871482849	7.98864179611206	240001	-5.8830433	0.24605071544647217
300000	300	7044.796538114548	9411.342010283463	9428.259203035508	75.05561539476815	9516.108497014555	9301.882059501368	607.6333	607.83575	9.296234321594238	9.187649512290955	290001	-6.029874	0.26600539684295654
350000	350	8289.665093421936	9925.673707752767	9941.29089736536	69.91644504719636	10015.400272988389	9801.892200057922	643.28094	643.3532	9.338755631446839	9.414130458831787	340001	-5.8686996	0.27105948328971863
400000	400	9526.217952489853	9844.038095719265	9880.09515338	106.91218612031018	9983.715195370958	9640.276137657997	674.198	673.8329	10.050456900596618	10.21959186077118	390001	-6.026405	0.2812093496322632
450000	450	10760.523073911667	10716.32797610915	10709.404752334744	47.543636634163995	10793.508926825503	10647.429388801782	701.5192	701.505	12.079829258918762	11.9178315448761	440001	-5.8949275	0.2832004129886627
500000	500	11977.65140748024	10034.31287069077	10038.745655327839	99.58137204489441	10203.873606240999	9875.530069311068	738.84	738.9155	10.874833292961121	11.039799184799195	490001	-5.774483	0.2814481854438782
550000	550	13209.588725566864	10707.08722170729	10711.376842790305	89.57211865164929	10884.477220804643	10537.177478132762	746.0888	746.1022	30.3382115650177	16.278458313941954	540001	-6.557788	0.29177382588386536
600000	600	14516.18161535263	11240.463393339136	11248.88242688587	77.69075941624888	11333.553660120637	11113.3779392575	773.6186	773.76465	12.324476127624513	12.758662304878236	590001	-6.467589	0.29160967469215393
650000	650	15774.21269416809	10842.316149496657	10823.84806042588	116.86403332678508	11082.409472480798	10690.586549631596	798.17645	798.1904	12.084663634300233	12.037304592132568	640001	-6.0634117	0.2907554507255554
700000	700	17042.618668317795	11658.818516302206	11693.969496059075	147.6860289569737	11844.62543283559	11320.386027237402	816.2074	816.2709	14.422434391975402	14.059354915618897	690001	-6.2998967	0.2892588675022125
750000	750	18299.240144729614	11808.971355189193	11783.686190756485	137.01118691316478	12008.193073563478	11583.153964066061	836.56854	836.2895	14.238530535697937	14.44557092666626	740001	-6.2203927	0.29648712277412415
800000	800	19570.547430038452	11736.274275516123	11722.918944163443	103.8746543317282	11954.370957612588	11615.588144808728	858.00287	857.703	14.821274752616882	14.701483035087586	790001	-6.025285	0.28789231181144714
850000	850	20878.793070793152	11924.227289127994	11894.978130010253	126.51026467976632	12094.892187575932	11685.390150658364	860.75	860.6728	13.153039093017577	12.502130761146546	840001	-5.6503263	0.2908824384212494
900000	900	22210.88653421402	11691.829839647276	11690.86551417578	142.2970676278049	11947.798861926869	11466.359351111627	876.57635	876.64294	16.652577238082884	17.89600540161133	890001	-6.3441396	0.2865804135799408
950000	950	23555.02224636078	11595.456695751083	11617.991354943153	123.56667365471922	11736.794908573334	11381.697912706582	884.1131	883.803	13.178113231658935	13.425228757858276	940001	-6.452714	0.28702211380004883
1000000	1000	24901.17176580429	12218.345431101321	12214.958082818139	99.14329003129525	12434.939324595782	12059.2309445988	901.16376	900.97626	14.385646734237671	14.373569369316101	990001	-5.884227	0.28299394249916077
