steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	754	623.973281621933	296.9873131891487	261.3204106106565	162.62353511340356	558.9208210550319	123.24209184923288	130.30501	130.1962	10.05896499633789	10.931357889175414	40001	-6.397237	0.0549578033387661
100000	1026	1388.662101507187	559.305701793378	490.5269883985577	326.7477276333688	1123.0178568219928	101.16619744548994	133.35315	132.83429	10.307443876266479	10.483941884040833	90001	-6.3558025	0.06031753867864609
150000	1200	2163.1967194080353	923.1726869998722	794.1265295206701	333.67805978112256	1852.660710641278	740.3582878684842	158.25653	158.09238	10.366291580200196	10.336569848060607	140001	-6.4002814	0.07199747115373611
200000	1304	2947.247947216034	3204.0056199749597	3596.2059875160385	931.7183656439082	3629.75536123691	612.9072591613616	182.72057	182.52347	9.395050625801087	10.029182796478272	190001	-6.2277417	0.07870978116989136
250000	1372	3733.966784954071	3594.8778706236453	3757.8037625280585	385.8473498757646	3834.3816446388814	2549.7446205938236	215.65297	215.689	11.824374074935912	11.502121467590332	240001	-5.976104	0.08834829181432724
300000	1432	4523.148405075073	3657.6125690724375	3775.324406717258	347.1679072197526	3809.9430052942075	2676.2893852780317	239.64441	239.2698	10.71757993221283	10.326838822364808	290001	-6.378202	0.08720208704471588
350000	1493	5308.905972003937	3658.6500034319083	4003.390282078677	1086.910629707297	4017.9510615610425	565.4530705228913	252.04332	252.11543	10.549222669601441	10.291108016967774	340001	-5.7147784	0.08904090523719788
400000	1552	6091.491597175598	4009.3384558906832	4008.3328936139824	13.024436791530968	4033.0364538390686	3994.6916851804986	269.599	269.75494	10.705927834510803	10.644485878944398	390001	-6.0286164	0.08534225821495056
450000	1606	6886.52238035202	4008.2349657461014	4011.6835518406006	26.43576120078171	4037.3939538180944	3960.544767773531	281.81332	281.90656	9.429812083244324	9.889895009994508	440001	-6.444883	0.08424101024866104
500000	1657	7671.8153240680695	4065.3016391370056	4063.7519436550006	24.651063745549667	4096.9255313615395	4032.9700852282645	294.793	294.69287	10.480287804603577	10.89759165763855	490001	-6.088406	0.0846494734287262
550000	1708	8448.697197914124	4192.302198324459	4189.8246360170215	10.60206558944749	4220.281890727621	4180.733164370421	301.10294	301.19757	9.084882645606994	9.61775457382202	540001	-6.1938486	0.07900851964950562
600000	1766	9247.870405435562	4170.372975136756	4170.849299725605	13.868055142118092	4195.96937372632	4152.001044650404	308.8898	308.7098	11.135477294921875	11.115026497840882	590001	-5.880663	0.0820867195725441
650000	1819	10052.166787147522	4182.046324009965	4182.626955969148	5.411545190346705	4187.998756929935	4173.560713348443	312.00702	312.15753	7.743441314697265	7.333932256698608	640001	-6.293919	0.07898598909378052
700000	1870	10855.714657068253	4237.281769993556	4236.358543154474	6.430151800951336	4246.513018326598	4228.817995435887	325.2239	325.52667	7.89718466758728	7.472310273647309	690001	-6.0585237	0.07758498191833496
750000	1920	11664.910917282104	4010.3897738651135	4016.8458807611264	44.362428294075656	4075.4222812055173	3938.871838103732	328.45413	328.29425	7.8075417399406435	6.943544182777405	740001	-6.038325	0.07255985587835312
800000	1971	12487.624402999878	4271.808701562517	4269.6817119893585	13.240001130799746	4298.68473411653	4256.87002702228	336.85638	336.76932	7.799651682376862	8.332156023979188	790001	-5.7968373	0.07077663391828537
850000	2022	13306.109865427017	4291.031063239711	4294.221062693809	14.994582229992616	4313.583647880354	4262.61476755184	341.5068	341.29172	7.612665781974792	7.400854656696319	840001	-6.1457334	0.07080291956663132
900000	2072	14123.159321546555	4258.376414724935	4357.827116721947	303.46717814661605	4450.459392318535	3440.749104603537	344.4961	344.56937	8.346835289001465	8.030634686946868	890001	-6.0031414	0.06678082048892975
950000	2122	14938.281774997711	4390.391239182843	4390.862693293353	11.11602101054948	4408.170992264714	4375.020148991539	352.9471	353.10205	5.866747529506683	6.392308259010315	940001	-5.706282	0.06576734781265259
1000000	2174	15735.51131272316	4401.9425707687415	4404.634826871017	12.010627715624992	4416.869191934445	4380.025824401006	347.69724	347.70682	6.879175682067871	5.947762715816498	990001	-6.3626094	0.06374453753232956
