steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	1070.053286075592	4600.408351334749	4588.722428192541	45.60416958010464	4668.897734092211	4536.301496379945	158.993	158.94247	3.1671022391319275	3.0188815879821775	40001	-6.224334	0.06651188433170319
100000	100	2411.3069145679474	7087.371847389322	7071.162569770344	73.34042991116868	7180.021168526952	6994.973687345504	352.71097	352.98007	6.269717805385589	6.449703948497772	90001	-5.8944516	0.14066022634506226
150000	150	3792.4859426021576	8791.684755401224	8794.461535061204	45.3334422506945	8845.391408758338	8724.766436995473	476.4975	476.43683	8.51966404914856	8.020879397392273	140001	-6.0220256	0.18709507584571838
200000	200	5173.548636674881	9472.954862673232	9509.558223665332	262.02405324530093	9804.98047881678	9109.562385400175	548.692	549.115	13.148518056869507	12.855747880935668	190001	-5.929155	0.23622125387191772
250000	250	6559.725146532059	10119.531405958041	10087.045664895906	111.30663018863751	10329.335970015143	9995.704348509224	607.8267	607.2831	14.209262037277222	13.901510896682739	240001	-5.6675014	0.2690863013267517
300000	300	7949.724944353104	10716.579805923524	10702.214425332355	104.62947424138896	10978.345500688853	10617.324749197413	684.4137	684.65857	14.270273628234863	14.423397121429444	290001	-5.9906387	0.27681946754455566
350000	350	9336.339197158813	11155.569887088684	11167.828787266702	115.1198170395	11388.279370324755	10984.89299791665	707.65424	707.7989	14.255075287818908	13.983821949958802	340001	-5.9246063	0.2845529615879059
400000	400	10732.501525878906	11196.937003970148	11318.798631831381	532.9054428253866	11533.02243452418	9704.389175884697	755.41724	755.3534	14.981817760467528	15.317405309677124	390001	-5.930092	0.29566076397895813
450000	450	12127.083558321	11458.058284676548	11458.153034992298	146.84843194117346	11647.656266641527	11228.276246097721	785.4407	785.41345	15.91796718597412	15.36496594429016	440001	-6.248753	0.29071247577667236
500000	500	13527.377555847168	12013.583700977268	12042.000436331906	70.23369957625933	12099.844410080941	11893.36836287173	808.85345	808.67975	17.889043254852297	16.605614604949952	490001	-6.02425	0.2809823155403137
550000	550	14928.106335163116	11974.817672825518	11952.358665314568	105.83648379460695	12170.051595621395	11846.791397837458	835.9103	836.14825	17.4082967376709	17.45412865638733	540001	-5.9263964	0.28794750571250916
600000	600	16335.632249116898	12044.306620892581	12078.176640595328	141.49506469996598	12210.346250613435	11738.718265056234	848.55585	848.5764	22.39617961883545	21.43880581855774	590001	-6.0876727	0.28211286664009094
650000	650	17740.272177934647	12217.695553005367	12265.38368958175	189.2964143496274	12397.388969713764	11756.030401509814	864.86237	865.02814	17.074966421127318	16.306874923706054	640001	-5.715881	0.2892328202724457
700000	700	19149.944195508957	12353.872346975784	12349.879448878582	95.90862571415313	12523.22551741771	12215.516850900705	886.76886	886.85474	20.134499979019164	18.790651512145995	690001	-5.9320383	0.2845388948917389
750000	750	20556.83904314041	12472.08013915055	12474.37763448294	114.75237108559666	12697.989967151543	12321.844887113231	900.80365	900.5485	17.33266664505005	16.545085697174073	740001	-5.9798527	0.2884174883365631
800000	800	21965.417098522186	12322.530644275734	12302.658679029475	153.62640271702318	12518.329728558854	12114.29263018035	900.9767	901.0699	18.364380321502686	18.70426579475403	790001	-5.745747	0.2821243107318878
850000	850	23378.451999902725	12257.704529531491	12307.721448972552	263.6854077868435	12592.167621577639	11580.070425892774	913.9449	914.9468	16.938869857788085	18.572821130752562	840001	-5.7934957	0.2843700349330902
900000	900	24788.92424082756	12387.458643025911	12433.478680582019	174.51344980141639	12595.24481373309	12062.851643233329	925.89325	925.8161	17.653228812217712	16.920493998527526	890001	-5.918834	0.28427737951278687
950000	950	26202.302200317383	11495.807191114716	12572.976893000998	2570.7620284442905	12815.59725045842	4893.601630076162	934.8135	935.0014	17.58594680786133	18.01093605518341	940001	-6.3032722	0.2848014235496521
1000000	1000	27613.553548812866	12707.326890489108	12676.14214712897	109.49453438910565	12864.596933873563	12555.2311268655	948.7428	948.5413	27.893998098373412	26.668167266845703	990001	-6.0564885	0.2808627486228943
