steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	996.8297564983368	4609.531167238016	4574.188285933579	192.80826905093056	4925.290387626419	4333.891284637313	164.21223	164.24081	3.167515480518341	2.9946747541427614	40001	-5.9028077	0.06691241264343262
100000	100	2250.5250627994537	7644.4655614708845	7664.2837276469745	160.5843892602683	7852.435575871773	7392.045301647816	385.44925	385.53036	8.268231868743896	8.069044919013978	90001	-6.0155444	0.15454192459583282
150000	150	3497.7204537391663	9445.8635903634	9397.074058536778	130.49174127024733	9626.215866830784	9279.613353056055	510.83875	510.5419	10.917060656547546	10.711517071723938	140001	-5.932263	0.2286023646593094
200000	200	4724.432785272598	9985.749964635696	9988.557785174731	150.3057071145695	10178.339151982966	9676.37558500142	582.5444	582.5087	11.631221628189087	11.577543983459472	190001	-5.6246524	0.24560946226119995
250000	250	5978.99818611145	10219.944781882214	10254.058355086903	144.17726016435873	10339.403467842196	9841.827009725179	643.0131	643.46576	11.387395672798156	11.293269762992859	240001	-5.8968	0.26181647181510925
300000	300	7210.123986721039	10386.736781893767	10389.665112106646	91.13353468728094	10565.770409553495	10247.967803399035	704.1224	703.9203	12.396824369430542	11.754753127098084	290001	-6.0843678	0.26533472537994385
350000	350	8446.487481117249	10841.800493400988	10853.389692827677	51.82257449748701	10914.686737200183	10756.413460797014	724.4586	724.6227	12.797697277069092	12.342313418388366	340001	-6.2585278	0.26438337564468384
400000	400	9694.147923707962	11070.739529177838	11054.449725730155	93.5768991041452	11270.755621892555	10966.283815456169	755.7772	756.0821	16.867499589920044	15.862206020355224	390001	-5.792665	0.26661989092826843
450000	450	10956.401878595352	10311.478976396518	10308.5341911933	97.79416981064571	10454.47385933906	10150.802940082678	782.0523	782.0286	14.0824303150177	13.19033576965332	440001	-6.0655828	0.27498260140419006
500000	500	12203.903316259384	11442.64025305059	11431.886407858048	100.94639931794389	11602.240891982998	11326.34394539436	787.7088	787.80115	14.1745747423172	14.243897743225098	490001	-6.053672	0.2806325852870941
550000	550	13473.395441532135	11334.651058842857	11328.10955865566	140.02200331267827	11539.930382870578	11094.585672126525	817.0027	816.7456	13.851462979316711	14.310420322418214	540001	-5.981815	0.2783200442790985
600000	600	14723.49971461296	11731.600980356647	11792.576565765423	190.59412393328085	11911.732121340865	11329.744330557889	818.2197	818.13586	15.204086337089539	14.228664770126343	590001	-5.637761	0.2757943272590637
650000	650	15989.54070520401	11911.339024143397	11904.627847249078	50.10552442624172	11975.123196003336	11823.844359183144	843.8298	843.5335	12.74001721382141	12.994030561447143	640001	-5.8445005	0.2805595099925995
700000	700	17262.245633125305	11774.367616255477	11799.684518717815	102.24192131253781	11905.323740111458	11519.401751902964	860.95337	860.9672	12.41474775314331	12.75732415676117	690001	-5.857282	0.27661633491516113
750000	750	18535.617281913757	11856.833241331353	11822.331765908239	96.02068253091716	12013.977119033512	11704.506478621013	875.2156	875.455	14.253938522338867	13.757860155105591	740001	-6.1148105	0.2791875898838043
800000	800	19822.416749477386	11735.862601683879	11729.769136752286	110.16853230843634	11966.954962905293	11612.99316632092	879.19354	879.0993	15.498559198379517	16.53468379497528	790001	-6.209954	0.2823147177696228
850000	850	21106.211594343185	12273.380785282856	12316.896687029475	124.06197631646829	12401.449522517465	12051.541855286754	892.68024	892.54913	14.47419680595398	14.228930311203003	840001	-6.2934484	0.2873477637767792
900000	900	22384.79047560692	12121.709294651406	12099.34691532837	104.01366042665394	12342.794054439448	12003.943250283908	895.2141	894.83563	13.271103506088258	13.989483294487	890001	-5.688089	0.27670735120773315
950000	950	23677.25771379471	12085.741068923406	12084.229719726545	73.54087655488605	12181.927286716926	11952.661638441468	905.96985	906.13074	13.522354698181152	13.967773370742798	940001	-6.0942492	0.2841521203517914
1000000	1000	24980.13943362236	12358.90048846377	12388.10432898449	94.80730528561492	12487.117227091512	12215.513705350146	920.47723	920.39886	14.51162166595459	15.838926582336425	990001	-5.8801026	0.2785514295101166
