steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	676.0055785179138	4509.006700708228	4484.196399308997	89.07302608809188	4710.082462450899	4391.01296441191	156.65121	156.87947	3.0922643661499025	3.2166773295402527	40001	-6.1813793	0.06178048625588417
100000	100	1510.2310445308685	7608.985941519793	7629.858194881199	135.8608834758167	7798.718840174133	7404.343448184115	379.36282	379.1293	6.801594648361206	6.513590505123139	90001	-6.011371	0.15220801532268524
150000	150	2341.3869075775146	9644.760208389924	9661.13026204767	75.99827946298586	9759.023858966511	9492.805586903549	521.1103	520.7538	10.213200664520263	10.20932065963745	140001	-6.1883526	0.21432556211948395
200000	200	3161.1366369724274	9677.175818655356	9683.662462584996	166.14989221640266	9952.395347511814	9418.302204019887	604.6299	604.993	11.618050127029418	11.798716983795167	190001	-6.1370378	0.24959217011928558
250000	250	3996.124076604843	10082.977692922903	10083.024925849491	137.99365437745104	10283.969726336034	9875.524575605376	671.5903	671.39954	11.718108596801757	11.891087980270386	240001	-6.0713944	0.26462650299072266
300000	300	4831.447595357895	10867.155593796455	10894.81658878887	99.57360455681214	10971.173816390832	10695.315616270675	710.18304	710.1987	12.181761775016785	12.049666829109192	290001	-6.306906	0.2644789218902588
350000	350	5671.868654251099	10709.01175221363	10685.586161222145	103.690276662384	10848.398390085793	10574.7498902313	755.9802	756.1835	12.3952841091156	11.868960452079772	340001	-6.2464795	0.2627623677253723
400000	400	6507.211682796478	11398.332971961938	11410.1911709347	152.40529204161285	11637.521672645538	11153.908906788578	786.8337	786.58514	13.239578709602355	13.530380201339721	390001	-5.7122	0.2584637701511383
450000	450	7332.554301738739	10730.714693232325	10704.609906472662	81.25500375003577	10885.34252162762	10628.432603494824	817.69354	817.8569	14.169914174079896	14.80947690486908	440001	-5.836512	0.25894442200660706
500000	500	8153.946254253387	11588.862216318312	11565.25921302654	82.0290097884987	11727.20349955935	11443.631998085795	825.318	825.06885	12.211334810256957	12.017562685012818	490001	-5.901808	0.25738054513931274
550000	550	8974.651561260223	11529.923914022118	11556.583873939606	190.77554035105175	11779.261536783408	11230.797308879528	844.87415	845.2568	12.363008661270142	12.267365083694457	540001	-5.9277887	0.25709760189056396
600000	600	9792.890193223953	11835.301689828204	11821.637610906146	123.41163961179439	12057.046924640752	11654.200497643564	856.2225	856.0495	12.632273406982423	12.516912975311278	590001	-5.9471903	0.25384974479675293
650000	650	10612.567845344543	11934.069721723346	11908.42461300386	133.72463738952814	12134.841746830645	11760.605429074712	883.6155	883.554	11.891881546974183	12.129380259513855	640001	-6.0973997	0.25669020414352417
700000	700	11431.544871330261	11745.923738059324	11708.049858566292	108.10325217926521	11925.626731199143	11604.757219158984	898.9701	898.8871	12.766993498802185	13.203339352607728	690001	-6.137049	0.24977168440818787
750000	750	12259.99393606186	11925.129744183369	11954.434417803168	132.8343197891264	12081.599271057103	11707.429863561318	891.2809	891.46014	12.289657220840454	13.081669764518738	740001	-5.7250195	0.2508887052536011
800000	800	13084.605268716812	11736.913635713388	11757.576503806009	163.9743256601047	11907.54812284663	11340.89831738994	908.07983	908.0817	13.021283545494079	14.209904527664184	790001	-6.382577	0.240835040807724
850000	850	13900.228919029236	12106.869996743346	12137.107019198436	148.86973108381065	12306.863345737485	11735.778299086523	918.2588	918.342	11.794691185951233	12.012579941749573	840001	-6.161424	0.24496951699256897
900000	900	14718.615092039108	12292.126532982456	12257.901054462633	101.06607495952036	12451.220000960966	12157.669699504278	923.86523	923.6603	11.389120697975159	11.976283221244811	890001	-6.146372	0.2473634034395218
950000	950	15533.018082618713	12261.53721094587	12261.751660363254	85.46081888651904	12376.850428588281	12102.712821002524	930.5264	930.4783	13.042863631248474	13.12872794151306	940001	-5.804092	0.2532791197299957
1000000	1000	16347.837023496628	12182.91117955778	12172.326398733034	60.63508330779942	12322.880110345319	12120.124565226322	941.7449	941.6701	13.033362436294556	12.771108083724975	990001	-5.871751	0.2587316036224365
