steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	920.9256954193115	5132.31817846138	5153.103297875896	191.02696010418398	5332.242928437188	4649.496639390283	164.69344	164.54369	4.756936767101288	4.94422587633133	40001	-6.3106046	0.07090120017528534
100000	100	2093.2694017887115	7166.0316689282745	7148.931951447708	78.865885493777	7353.1330152275605	7067.212864472878	366.29794	366.17783	4.902254967689514	5.250573251247406	90001	-6.4444532	0.16452854871749878
150000	150	3296.269671201706	8069.769259291727	8088.794293696751	106.4436932682283	8220.670055060129	7855.296626478527	462.52457	462.6432	6.026003625392914	5.986295104026794	140001	-6.0674024	0.19874811172485352
200000	200	4494.831015348434	8628.114770807177	8615.909846721781	134.92105964851146	8837.390825982391	8331.061317389358	544.08	543.94556	7.45428946018219	7.913598356246948	190001	-5.9957285	0.21592137217521667
250000	250	5684.10556435585	9389.770396669963	9395.58935534319	82.2133820095684	9511.830446818232	9205.384110891495	614.44727	614.45685	8.030927147865295	8.617735152244569	240001	-5.7540216	0.22654789686203003
300000	300	6914.842482328415	9893.130531159279	9884.224876333636	113.24081076781188	10059.545975130704	9714.146978920486	669.1619	669.4085	8.440078635215759	8.697642474174499	290001	-5.9331374	0.23037974536418915
350000	350	8165.777624130249	9941.15259600108	9935.524914580976	95.15413202757878	10140.820212772102	9812.165987324805	701.45294	701.292	8.770705623626709	9.062043933868408	340001	-6.3285675	0.23211055994033813
400000	400	9373.793956279755	10338.086481750968	10352.222080533009	104.39093200807186	10468.107035958094	10180.066950081282	726.69165	726.5964	9.122224431037903	9.017505598068237	390001	-5.8837605	0.23567190766334534
450000	450	10594.741209745407	10562.330825765963	10553.98225446032	72.25595026592043	10686.32825720616	10438.478933309185	750.3996	750.6261	8.992712173461914	9.215999426841735	440001	-6.297178	0.23105324804782867
500000	500	11822.414203643799	10449.641574202005	10446.763482648317	128.1810935030841	10603.53377997352	10219.96558460597	778.2379	778.5133	9.048130822181701	8.38860369682312	490001	-6.2998085	0.23562966287136078
550000	550	13053.805050611496	10788.955146102096	10747.646536121454	142.55788980356297	10992.47778555521	10629.882172069956	791.26276	791.0706	9.969575352668762	9.970116481781005	540001	-5.932757	0.2299996018409729
600000	600	14296.447162866592	10703.597635455286	10707.182231275263	101.19107918750831	10885.883236381456	10537.167494277206	800.8373	801.0364	9.56893310546875	9.836049385070801	590001	-5.9629445	0.2336084544658661
650000	650	15528.243643522263	10897.943285954794	10928.70532314977	98.75878376041854	11013.998014462095	10741.35772989314	816.727	816.5429	10.446502170562745	10.557563681602478	640001	-5.760466	0.22715595364570618
700000	700	16767.27707362175	10751.67147762487	10744.818816788907	107.55120212608682	10909.338768521942	10577.369567389758	830.46277	830.47876	9.241999387741089	9.010920033454894	690001	-5.84856	0.23145543038845062
750000	750	18011.461746931076	11142.147875659492	11092.815331433827	108.66984817275211	11326.13091519667	11025.130430941117	847.15	847.61365	9.727701773643494	9.426723265647889	740001	-5.95381	0.2351631075143814
800000	800	19270.992057085037	11118.56373568877	11122.10616171201	65.65656458021469	11252.05604225231	11041.159328459202	861.4799	861.91907	9.819038500785828	9.697608132362365	790001	-5.904	0.23409882187843323
850000	850	20555.05914068222	11424.22351539566	11424.897670168839	112.51926804778238	11614.09490321491	11268.55117353513	861.8275	861.5877	9.95735071182251	9.517237396240235	840001	-5.830217	0.23410433530807495
900000	900	21856.196758031845	11433.587040726381	11418.719029379969	121.53064190826753	11646.443121943115	11266.044195150618	878.117	878.489	8.91159619808197	9.199615755081176	890001	-6.2454753	0.2346218228340149
950000	950	23100.1920876503	11652.190986738095	11628.082557872971	100.67732305043506	11818.963086031072	11496.670051355988	880.03625	880.0085	9.838883700370788	9.826866602897644	940001	-6.0589757	0.23957356810569763
1000000	1000	24361.946645498276	11597.902480877747	11571.650858757373	109.72441819073596	11793.211999516181	11446.246428005095	885.96936	886.0089	11.295208077430726	11.667727179527283	990001	-6.1556435	0.2495298981666565
